keyword,search_volume,difficulty,priority,category,intent,location,notes
spray foam insulation Anchorage,170,Low,Critical,Primary,Transactional,Anchorage,Main local keyword
spray foam insulation Alaska,140,Low,Critical,Primary,Commercial,Alaska,Statewide coverage
insulation contractors Anchorage,140,Low,Critical,Primary,Transactional,Anchorage,High conversion potential
spray foam insulation cost,18100,High,Critical,Cost,Commercial,National,High volume opportunity
ice dam prevention Alaska,70,Low,Critical,Seasonal,Commercial,Alaska,Unique Alaska focus
crawl space insulation Anchorage,30,Low,Critical,Service,Commercial,Anchorage,High-value service
attic insulation Anchorage,50,Low,Critical,Service,Commercial,Anchorage,Core service keyword
thermal inspection Anchorage,20,Low,Critical,Service,Commercial,Anchorage,Differentiator service
spray foam insulation Wasilla,70,Low,Critical,Location,Transactional,Mat-Su,Secondary market
spray foam insulation Kenai,40,Low,High,Location,Transactional,Kenai,Tertiary market
closed cell spray foam,8100,Medium,High,Technical,Commercial,National,Product-specific
open cell spray foam,5400,Medium,High,Technical,Commercial,National,Product-specific
spray foam insulation near me,12100,Medium,High,Primary,Transactional,Local,Mobile searches
insulation company Anchorage,110,Low,High,Primary,Transactional,Anchorage,Brand building
spray foam contractors Anchorage,50,Low,High,Primary,Transactional,Anchorage,Service provider
ice dam prevention,2400,Medium,High,Seasonal,Commercial,National,High volume seasonal
ice dam insulation,480,Low,High,Seasonal,Commercial,National,Solution-focused
prevent ice dams,720,Low,High,Seasonal,Informational,National,Problem-solution
cold climate insulation,140,Low,High,Seasonal,Commercial,National,Alaska-relevant
extreme cold insulation,70,Low,High,Seasonal,Commercial,Alaska,Alaska-specific
winterize home Alaska,50,Low,High,Seasonal,Commercial,Alaska,Seasonal action
spray foam attic insulation,720,Low,High,Service,Commercial,National,Application-specific
crawl space encapsulation,590,Low,High,Service,Commercial,National,Premium service
air sealing Alaska,40,Low,High,Service,Commercial,Alaska,Supporting service
energy audit Alaska,50,Low,High,Service,Commercial,Alaska,Diagnostic service
insulation removal Anchorage,30,Low,High,Service,Commercial,Anchorage,Supporting service
spray foam insulation Palmer,50,Low,High,Location,Transactional,Mat-Su,Mat-Su market
spray foam Eagle River,30,Low,High,Location,Transactional,Eagle River,Anchorage suburb
insulation Soldotna,30,Low,High,Location,Transactional,Kenai,Kenai Peninsula
closed cell vs open cell,1900,Low,High,Comparison,Informational,National,Decision content
spray foam vs fiberglass,590,Low,High,Comparison,Informational,National,Decision content
how much does spray foam cost,1600,Medium,High,Cost,Commercial,National,Buyer research
spray foam cost per square foot,3600,Medium,High,Cost,Commercial,National,Price comparison
insulation cost Alaska,40,Low,High,Cost,Commercial,Alaska,Local pricing
reduce heating costs Alaska,50,Low,High,Energy,Commercial,Alaska,Problem-solution
save on heating bills,880,Medium,High,Energy,Commercial,National,Benefit-focused
AHFC rebate insulation,30,Low,High,Weatherization,Informational,Alaska,Program-specific
weatherization Alaska,70,Low,High,Weatherization,Informational,Alaska,Program awareness
commercial insulation Alaska,30,Low,Medium,Commercial,Commercial,Alaska,B2B service
warehouse insulation Anchorage,20,Low,Medium,Commercial,Commercial,Anchorage,B2B local
metal building insulation Alaska,20,Low,Medium,Commercial,Commercial,Alaska,Specialty service
spray foam insulation R-value,2400,Low,Medium,Technical,Informational,National,Educational
insulation R-value Alaska,20,Low,Medium,Technical,Informational,Alaska,Local technical
is spray foam worth it,590,Low,Medium,Research,Informational,National,Early research
