company,website,location,phone,years_in_business,service_area,primary_services,certifications,manufacturer_partnerships,bbb_rating,google_rating,yelp_rating,angi_rating,review_avg,website_quality,seo_score,content_quality,residential_focus,commercial_focus,spray_foam,blown_in,thermal_imaging,ice_dam_prevention,crawlspace,insulation_removal,primary_usp,strengths,weaknesses,competitive_threat_level
Polyseal Insulation / MCGA Alaska,https://polysealinsulation.com/,"2360 S Old Glenn Hwy, Palmer, AK 99645",(877) 277-7554,19,Statewide Alaska,"Spray foam, foundation lifting, structural foam, concrete slab lifting, earthquake repairs",BBB Accredited,Various suppliers,Yes,4.5,4.0,4.5,4.6,8,8,6,60%,30%,Yes,Limited,Unknown,Yes,Yes,Limited,"Foundation lifting + spray foam combined services","Award-winning quality, multi-service offering, 19 years experience, competitive pricing","Wide service range may dilute focus, blog on subdomain",High
Northern Insulation Solutions,https://northerninsulationak.com/,"10330 Old Seward Hwy, Anchorage, AK 99515",(907) 891-8626,5,"Urban and Remote Alaska","Mechanical insulation, spray foam, tank insulation, custom fabrication, marine insulation","State license 2175545, 167393, 2116354","Owens Corning, Armaflex, 3M, Johns Manville, Armacell",No,Unknown,4.0,Unknown,4.0,8,7,5,20%,80%,Yes,Limited,Limited,Yes,Yes,Unknown,"Alaska's Largest Locally-Owned Mechanical Insulation Company","Multiple manufacturer partnerships, commercial/industrial focus, remote Alaska capability","Not BBB accredited, founded 2020 contradicts experience claims, limited residential",High
Urethane Alaska LLC,https://www.urethanealaska.com/,"8643 Corbin Dr, Anchorage, AK 99507","(907) 349-6232, (907) 441-7165",48,South Central Alaska,"Urethane spray foam, PolyShield coating, fireproofing, foam injection",BBB A+ since 2018,"Huntsman Building Solutions, Design North Supply",A+,4.5,4.0,Unknown,4.2,7,6,3,50%,50%,Yes,No,No,Limited,Yes,No,"48 years of trusted family service","Longest operating in market, BBB A+, fireproofing unique, premium manufacturer","Limited marketing, no content strategy, outdated digital presence",Medium
Alpha Spray Foam LLC,https://alphasprayfoamak.com/,Anchorage AK,Via website,Unknown,"Anchorage, Big Lake, Wasilla, Palmer","Residential, commercial, industrial spray foam",State licensed,Unknown suppliers,Unknown,Unknown,Unknown,Unknown,Unknown,6,6,5,60%,30%,Yes,No,No,Limited,Yes,No,"Locally owned and operated spray foam specialist","Modern website, local focus, free consultations","Limited content depth, no visible certifications, unclear track record",Medium
Turnagain Spray Foam,https://www.turnagainsprayfoam.com/,"700 W 58th Ave J, Anchorage, AK 99518",(907) 444-1827,1,Anchorage and surrounding,"Closed-cell spray foam, walls, ceilings, crawlspace, foundation","SPFA member, State license 2208807",Unknown,Not rated (new),5.0,Unknown,5.0,5.0,7,5,3,80%,20%,Yes,No,No,Limited,Yes,No,"Perfect 5.0 ratings and 48-hour quotes","Excellent customer reviews, quick response, SPFA member, low VOC products","Very new company, limited track record, small team",Medium-Growing
Xtreme Alaska Spray Foam LLC,https://xtremealaskasprayfoamllc.com/,"16700 E. Maud Rd, Palmer, AK 99645",(907) 315-0862,7,"Road System, Alaska Marine Highway","Residential, commercial spray foam, hangars, shops, crawlspaces",BBB A+ since 2019,"Central Urethane, X-PRESS Seal",A+,4.3,3.5,Unknown,4.2,6,5,3,70%,20%,Yes,No,No,Limited,Yes,No,"Locally owned by Troy Knight - authentic Alaska service","BBB A+ rating, owner personal story, wide service area","Past quality issues noted, limited marketing, equipment history",Low-Medium
Chinook Foam & Coating,https://www.chinookinsulation.com/,"3881 Goose Bay Drive, Wasilla, AK 99623",(907) 982-7428,Unknown,"Statewide including remote locations","Spray foam, slabjacking, protective coatings, roof coating, remote installation",State licensed,Not listed,No,Unknown,Unknown,Unknown,Unknown,8,7,9,60%,20%,Yes,No,Limited,Yes,Yes,No,"No location is too far - Remote Alaska specialists","Best educational content, remote Alaska niche, comprehensive blog","No BBB, Wasilla may limit Anchorage perception, limited reviews",Medium
Anchorage Spray Foam,https://www.anchoragesprayfoam.com/,Anchorage AK,855-GET-FOAM (438-3626),Unknown,Throughout Alaska,"Spray foam, roofing, polyurea coatings, training, equipment sales",Unknown,ProFoam products,Unknown,Unknown,Unknown,Unknown,Unknown,5,6,5,50%,40%,Yes,No,No,Yes,Yes,No,"855-GET-FOAM - Memorable and easy to contact","Memorable phone number, training/equipment expertise, wide services","Dated website design, unfocused positioning",Low-Medium
Alas-Co General Construction,https://www.alasco.net/,"8500 Arlon St, Anchorage, AK 99507",(907) 522-2297,40,Anchorage area,"Attic, batt, blown-in, spray foam, thermal testing, air sealing, fire-proofing",BBB Accredited since 1993,"JM ClimatePro, JM Spider",A+ (est),4.9,4.5,4.9,4.8,7,7,4,50%,40%,Yes,Yes,Yes,Yes,Yes,Limited,"40+ years of trusted service, BBB Accredited since 1993","Longest BBB history, thermal testing, 4.9 rating, AGC member","Older website, less spray foam focused, general contractor positioning",Medium
Weatherize Alaska LLC,https://www.weatherizealaska.com/,"3250 E 67th Ave, Anchorage, AK",907-310-7771,25,Anchorage and statewide,"Insulation, air sealing, duct sealing, Aeroseal, spray foam","State license #133351",Unknown,Not accredited,4.0,3.5,4.6,4.3,5,5,3,90%,10%,Yes,Yes,Limited,Limited,Limited,No,"Aeroseal duct sealing technology","Aeroseal unique in market, 25 years experience, weatherization focus","Significant reputation problems, mixed reviews, quality complaints",Low
Energy Savers,https://www.energysaversak.com/,Wasilla AK,(907) 355-6888,28,"Mat-Su Valley, Wasilla, Palmer, Anchorage","Blown-in, batt insulation, cellulose, dense-pack, vapor barrier",BBB A+ since 2017,"EcoBatt, Knauf, Johns Manville, GreenGuard",A+,4.5,Unknown,4.5,4.5,4,5,2,70%,30%,No,Yes,No,No,Yes,No,"Eco-friendly insulation with GreenGuard certification","BBB A+, eco-friendly positioning, strong reviews, GreenGuard certified","No spray foam, dated website, Mat-Su focus only",Low
Alaska Insulation Specialties (AIS Inc),N/A,"261 E 56th Ave B, Anchorage, AK 99518",(907) 563-4125,42,Statewide,"Distribution, fabrication, mechanical insulation",Industry certifications,Multiple manufacturers,Unknown,4.8,Unknown,Unknown,4.8,Unknown,Unknown,Unknown,20%,80%,Limited,Yes,Limited,No,Unknown,No,"Largest full-service mechanical insulation company in Alaska","42 years experience, distribution + fabrication + installation, largest in state","Primarily distribution/industrial, not direct residential competitor",Low
Bosela Urethane (Bosela Enterprises),https://www.boselaurethane.com/,"39260 Greenfield Dr, Sterling, AK 99672",(907) 252-9380,29,Kenai Peninsula,Urethane thermal insulation,State licensed,Unknown,Unknown,4.8,Unknown,Unknown,4.8,Unknown,Unknown,Unknown,60%,40%,Yes,No,No,Limited,Yes,No,"Kenai Peninsula's leading insulation expert","29 years experience, strong local reputation, competitive pricing","Limited to Kenai Peninsula, small operation",Low (regional)
Arctic Insulation / Arctic Quality Insulation,N/A,"5326 A St, Anchorage, AK / Big Lake",(907) 677-9540,Unknown,Alaska statewide,"Blown-in, spray foam, batting, mobile installation",Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,50%,50%,Yes,Yes,No,Unknown,Unknown,No,"Alaska's mobile insulation installer","Mobile installation capability, unique coating services","Limited information, unclear market presence",Low
Foundation & Crawl Space Repair of Alaska,https://www.foundationrepairanchorage.com/,"Anchorage, Wasilla, Juneau area",Via website,Unknown,Greater Anchorage,"Crawl space encapsulation, insulation, moisture control",Unknown,"SilverGlo, TerraBlock (Basement Systems)",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,70%,30%,No,No,No,Limited,Yes,No,"Crawl space encapsulation specialists","Basement Systems dealer, crawlspace focus, moisture control expertise","Not primarily spray foam, foundation focus",Low
Alaska Professional Services,https://alaskaproservices.com/,Anchorage AK,Via website,Unknown,Anchorage and surrounding,"Ice dam remediation, insulation solutions",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,No,"Ice dam remediation specialists","Ice dam specialty, winter damage focus","Limited information, niche focus",Low
Foamology Insulation,https://foamologyinsulation.com/,"901 E Klatt Road #6, Anchorage, AK 99515",(907) 310-3000,Unknown,"Anchorage, Mat-Su, Kenai Peninsula","Spray foam, thermal inspections, ice dam prevention, crawlspace encapsulation, insulation removal","Licensed, bonded, insured",TBD,TBD,TBD,TBD,TBD,TBD,8,7,TBD,70%,25%,Yes,Limited,Yes,Yes,Yes,Yes,"Thermal-verified spray foam experts","Modern website, thermal imaging expertise, comprehensive services, ice dam focus","Building reputation, certification visibility, content development",N/A (Client)
