cluster_name,pillar_page,pillar_url,cluster_page_title,cluster_page_url,target_keyword,word_count,priority,status,content_type,buyer_stage
Spray Foam Types,Complete Spray Foam Insulation Guide,/spray-foam-insulation-guide,Closed-Cell Spray Foam,/services/closed-cell-spray-foam,closed cell spray foam,2000-2500,Critical,Exists - Enhance,Service Page,Consideration
Spray Foam Types,Complete Spray Foam Insulation Guide,/spray-foam-insulation-guide,Open-Cell Spray Foam,/services/open-cell-spray-foam,open cell spray foam,1800-2200,High,Exists - Enhance,Service Page,Consideration
Spray Foam Types,Complete Spray Foam Insulation Guide,/spray-foam-insulation-guide,Closed Cell vs Open Cell Comparison,/blog/closed-cell-vs-open-cell-spray-foam,closed cell vs open cell,2500-3000,Critical,To Create,Comparison,Consideration
Spray Foam Types,Complete Spray Foam Insulation Guide,/spray-foam-insulation-guide,Spray Foam R-Value Guide,/resources/spray-foam-r-value-guide,spray foam r-value,2000-2500,High,To Create,Educational,Awareness
Spray Foam Types,Complete Spray Foam Insulation Guide,/spray-foam-insulation-guide,Is Spray Foam Insulation Worth It?,/blog/is-spray-foam-insulation-worth-it,is spray foam worth it,2500-3000,Critical,To Create,Decision Support,Decision
Spray Foam Types,Complete Spray Foam Insulation Guide,/spray-foam-insulation-guide,How Long Does Spray Foam Last?,/blog/how-long-does-spray-foam-last,spray foam lifespan,1800-2200,High,To Create,Educational,Awareness
Spray Foam Types,Complete Spray Foam Insulation Guide,/spray-foam-insulation-guide,Spray Foam Installation Process,/blog/spray-foam-installation-process,spray foam installation,2000-2500,Medium,To Create,Educational,Consideration
Spray Foam Types,Complete Spray Foam Insulation Guide,/spray-foam-insulation-guide,Is Spray Foam Safe?,/blog/is-spray-foam-insulation-safe,is spray foam safe,1800-2200,Medium,To Create,FAQ,Awareness
Spray Foam Types,Complete Spray Foam Insulation Guide,/spray-foam-insulation-guide,Spray Foam vs Fiberglass,/blog/spray-foam-vs-fiberglass,spray foam vs fiberglass,2500-3000,High,To Create,Comparison,Consideration
Spray Foam Types,Complete Spray Foam Insulation Guide,/spray-foam-insulation-guide,Spray Foam vs Cellulose,/blog/spray-foam-vs-cellulose,spray foam vs cellulose,2000-2500,Medium,To Create,Comparison,Consideration
Spray Foam Types,Complete Spray Foam Insulation Guide,/spray-foam-insulation-guide,DIY vs Professional Spray Foam,/blog/diy-vs-professional-spray-foam,diy spray foam,1800-2200,Medium,To Create,Comparison,Decision
